дата,выход,направление
2019-01-03,60.56559979085177,ш
2019-01-04,60.77674240658956,ш
2019-01-08,61.92112387077447,ш
2019-01-09,62.23207423064997,ш
2019-01-10,62.40917289333793,л
2019-01-11,62.46052474074437,ш
2019-01-14,62.89923871836989,ш
2019-01-15,62.90028116509863,ш
2019-01-16,63.03142861566744,ш
2019-01-17,63.033023985613696,ш
2019-01-18,62.91625924340813,ш
2019-01-21,62.925855420820625,л
2019-01-22,62.81878269412467,л
2019-01-23,62.86372443785858,ш
2019-01-24,62.80325698264197,ш
2019-01-25,62.65041983512172,л
2019-01-28,62.71916781796344,ш
2019-01-29,62.68871577168422,ш
2019-01-30,62.837814126820994,ш
2019-01-31,62.90756497658217,ш
2019-02-01,62.908914966642136,л
2019-02-04,63.55431063679009,ш
2019-02-05,63.74156094161985,л
2019-02-06,64.11373352453535,ш
2019-02-07,64.40701422553167,ш
2019-02-08,64.6272367563311,ш
2019-02-11,65.84950226270958,л
2019-02-12,66.18576907577673,ш
2019-02-13,66.67767135724674,ш
2019-02-14,67.05745953016441,л
2019-02-15,67.32761537131286,ш
2019-02-18,68.45731389021977,л
2019-02-19,68.678310619013,ш
2019-02-20,69.01309349184213,л
2019-02-21,69.19547514008696,ш
2019-02-22,69.23039031809574,л
2019-02-25,69.46441731388558,л
2019-02-26,69.3396024169286,ш
2019-02-27,69.31451431812172,л
2019-02-28,69.12939250634452,л
2019-03-01,68.79587434084888,л
2019-03-04,67.98716159760504,ш
2019-03-05,67.5576658157597,л
2019-03-06,67.2595213465789,ш
2019-03-07,66.83827153574671,ш
2019-03-11,65.19991193413402,ш
2019-03-12,64.77027538412916,ш
2019-03-13,64.522750874259,л
2019-03-14,64.20166084770514,ш
2019-03-15,63.81272918625823,ш
2019-03-18,63.367254556640205,ш
2019-03-19,63.22527011631873,ш
2019-03-20,63.288586488433346,л
2019-03-21,63.29488844881972,ш
2019-03-22,63.25124506908958,л
2019-03-25,63.8293439132967,л
2019-03-26,64.00190382130624,л
2019-03-27,64.35610675422726,л
2019-03-28,64.62429585043375,л
2019-03-29,64.80894214520401,ш
2019-04-01,65.83742428821198,ш
2019-04-02,66.07578173315372,л
2019-04-03,66.4530417327796,ш
2019-04-04,66.70270478415064,ш
2019-04-05,66.82935382550139,л
2019-04-08,67.48095153632937,ш
2019-04-09,67.54094774258509,ш
2019-04-10,67.72230250686366,л
2019-04-11,67.76434755620878,л
2019-04-12,67.67764971501859,л
2019-04-15,67.7138035622799,л
